holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,weekend,hour_sin,hour_cos,is_clear,has_rain,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,temp_scaled,traffic_volume_scaled,congestion_category
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,9,1,0,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5522811718252075,1.1501933773200828,High
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10,1,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6372514822702531,0.6323153795016846,Medium
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,11,1,0,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6545602492127593,0.7586393614768235,Medium
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,12,1,0,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6978321665690318,0.888989605825672,High
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,13,1,0,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7772951420778207,0.8346350637805924,Medium
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,14,1,0,-0.4999999999999997,-0.8660254037844388,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8229273458353467,0.9669984393162957,High
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,15,1,0,-0.7071067811865471,-0.7071067811865479,1,0,1,0,0,0,0,0,0,0,0,0,0,0.9370078552291525,1.1698214063919172,High
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,16,1,0,-0.8660254037844384,-0.5000000000000004,1,0,1,0,0,0,0,0,0,0,0,0,0,0.9912944424579294,1.3867362917755224,High
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,17,1,0,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0133237822029382,1.2740009453116532,High
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,18,1,0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9315005202929003,0.7601492098669645,Medium
